Id,Secteur,Poste,Entreprise,Ville,Date_De_Publication,Lien,Experience,Contrat,Niveau_Etude,Annee,Competences
21230,Accounting,Accounting Intern,FinCorp,Amsterdam,2025-04-06,https://linkedin.com/jobs/view/21230,3.0,CDI,Doctorat,2025,"GAAP, Tax Accounting, IFRS, Excel, Audit, Financial Reporting, General Ledger, Financial Analysis, Attention to Detail"
50669,Investment,Investment Senior,FinanceX,Casablanca,2024-04-24,https://linkedin.com/jobs/view/50669,3.0,Alternance,Master,2024,"Python, Git, Scrum, Agile, REST API, Cloud Computing"
47437,Data Scientist,Data Scientist Senior,CloudWorks,Lyon,2023-02-25,https://linkedin.com/jobs/view/47437,5.0,CDI,Bac +5,2023,"Feature Engineering, Jupyter, TensorFlow, NLP, Deep Learning, Data Mining, Computer Vision, Python, Attention to Detail, Problem Solving"
74545,Machine Learning Engineer,Machine Learning Engineer Intern,CyberGuard,Paris,2024-04-22,https://linkedin.com/jobs/view/74545,3.0,Stage,Bac +5,2024,"Spark, NoSQL, Kubernetes, GCP, Docker, Analytical Thinking"
82852,Machine Learning Engineer,Machine Learning Engineer Lead,DataBrains,Marrakesh,2023-06-20,https://linkedin.com/jobs/view/82852,6.0,Freelance,Doctorat,2023,"Airflow, NoSQL, Spark, Cassandra, SQL, Hadoop, Project Management"
84721,Cybersecurity,Cybersecurity Senior,CyberGuard,Lyon,2023-11-09,https://linkedin.com/jobs/view/84721,3.0,Stage,Master,2023,"Cryptography, Ethical Hacking, OSCP, Incident Response, SIEM, Security+, Firewall, Problem Solving"
28516,Python Developer,Python Developer Lead,CyberGuard,San Francisco,2023-11-06,https://linkedin.com/jobs/view/28516,2.0,Alternance,Master,2023,"NumPy, REST API, AWS, SQL, FastAPI, Python, Git, Flask, Time Management, Analytical Thinking, Problem Solving"
51632,Python Developer,Python Developer Lead,FinCorp,Toronto,2024-03-14,https://linkedin.com/jobs/view/51632,7.0,Freelance,Bac +5,2024,"AWS, Unit Testing, Git, ORM, REST API, Attention to Detail, Analytical Thinking"
58369,Finance,Finance Lead,TechCorp,Marrakesh,2023-03-23,https://linkedin.com/jobs/view/58369,2.0,CDI,Bac +5,2023,"SAP, Excel, ERP Systems, Risk Management, Forecasting, Budgeting, Project Management, Communication"
19621,Risk Management,Risk Management Senior,FinCorp,Marrakesh,2025-12-14,https://linkedin.com/jobs/view/19621,6.0,Alternance,Bac +2,2025,"Compliance, Regulatory Frameworks, Risk Mitigation Strategies, Credit Risk, Risk Modeling, Basel III, Operational Risk, Market Risk, Attention to Detail"
46228,DevOps,DevOps Junior,CloudWorks,Berlin,2023-02-19,https://linkedin.com/jobs/view/46228,1.0,CDD,Master,2023,"Linux, Ansible, GitHub Actions, Terraform, AWS/Azure/GCP, Python, Docker, Teamwork"
50844,Investment,Investment Intern,AI Technologies,Toronto,2024-02-10,https://linkedin.com/jobs/view/50844,7.0,CDD,Doctorat,2024,"Scrum, Git, JavaScript, Microservices, REST API, C#, Communication"
55000,Accounting,Accounting Junior,DataCorp,Lyon,2025-07-12,https://linkedin.com/jobs/view/55000,2.0,CDD,Master,2025,"Financial Analysis, Tax Accounting, GAAP, Audit, Reconciliation, ERP Systems, IFRS, Excel"
47827,Finance,Finance Intern,FinanceX,Marrakesh,2025-03-07,https://linkedin.com/jobs/view/47827,1.0,Freelance,Doctorat,2025,"ERP Systems, Budgeting, Oracle Financials, Excel, Accounting, Forecasting, SAP, Financial Reporting"
78291,IT Manager,IT Manager Lead,AI Technologies,Berlin,2023-10-02,https://linkedin.com/jobs/view/78291,3.0,CDI,Doctorat,2023,"Vendor Management, IT Governance, Business Relationship Management, Service Delivery, Risk Management, Team Leadership, Time Management, Project Management, Teamwork"
52964,Investment,Investment Lead,FinanceX,Paris,2023-05-11,https://linkedin.com/jobs/view/52964,1.0,Freelance,Master,2023,"Git, JavaScript, Unit Testing, Agile, CI/CD, Python, Design Patterns, Time Management, Problem Solving, Analytical Thinking"
21426,Business Intelligence,Business Intelligence Senior,CyberGuard,Paris,2024-03-21,https://linkedin.com/jobs/view/21426,1.0,CDI,Doctorat,2024,"OOP, Java, Python, Git, Design Patterns, Unit Testing, JavaScript, Communication"
53863,Accounting,Accounting Intern,DeepMind,Amsterdam,2023-12-07,https://linkedin.com/jobs/view/53863,3.0,CDI,Doctorat,2023,"General Ledger, ERP Systems, IFRS, Financial Analysis, Financial Reporting"
48834,Data Scientist,Data Scientist Senior,DataCorp,Amsterdam,2023-07-02,https://linkedin.com/jobs/view/48834,3.0,Alternance,Master,2023,"Big Data, R, SQL, TensorFlow, NLP, PyTorch, NumPy"
44448,Business Intelligence,Business Intelligence Intern,RiskNet,Paris,2023-08-16,https://linkedin.com/jobs/view/44448,2.0,CDD,Bac +3,2023,"Design Patterns, Agile, Unit Testing, Scrum, Microservices, C#, Linux, Teamwork, Analytical Thinking"
84337,Accounting,Accounting Lead,FinanceX,London,2023-12-14,https://linkedin.com/jobs/view/84337,6.0,Alternance,Master,2023,"Reconciliation, Excel, Audit, Financial Analysis, ERP Systems, Tax Accounting, GAAP, General Ledger"
10167,Financial Analyst,Financial Analyst Junior,CloudWorks,London,2023-06-21,https://linkedin.com/jobs/view/10167,5.0,Freelance,Master,2023,"Power BI, Financial Modeling, Financial Reporting, Bloomberg Terminal, Forecasting, SQL, Budgeting"
99842,Accounting,Accounting Intern,PythonTech,Amsterdam,2024-09-22,https://linkedin.com/jobs/view/99842,3.0,CDI,Doctorat,2024,"Audit, Excel, IFRS, Financial Analysis, GAAP, Tax Accounting, Financial Reporting, ERP Systems, Analytical Thinking, Problem Solving, Attention to Detail"
25646,Accounting,Accounting Intern,FinCorp,Casablanca,2024-09-12,https://linkedin.com/jobs/view/25646,1.0,Alternance,Doctorat,2024,"GAAP, Excel, ERP Systems, Financial Analysis, Reconciliation"
97711,Security Analyst,Security Analyst Junior,FinCorp,San Francisco,2023-02-26,https://linkedin.com/jobs/view/97711,7.0,Freelance,Bac +2,2023,"Risk Management, Threat Intelligence, Incident Response, Log Analysis, SIEM, Security Frameworks, Project Management"
60787,Financial Analyst,Financial Analyst Intern,FinCorp,Casablanca,2023-12-15,https://linkedin.com/jobs/view/60787,3.0,Alternance,Master,2023,"Financial Statement Analysis, SQL, Excel, Budgeting, Risk Assessment, Problem Solving"
29916,Investment,Investment Junior,DataBrains,Casablanca,2025-05-10,https://linkedin.com/jobs/view/29916,7.0,CDI,Doctorat,2025,"OOP, Unit Testing, Linux, C#, Java, Design Patterns, Git, Problem Solving, Project Management"
41910,Data Scientist,Data Scientist Junior,AI Technologies,Lyon,2025-02-26,https://linkedin.com/jobs/view/41910,1.0,CDI,Bac +5,2025,"Jupyter, SQL, Statistical Analysis, R, Python"
31208,IT Manager,IT Manager Senior,PythonTech,Toronto,2024-05-17,https://linkedin.com/jobs/view/31208,3.0,Freelance,Bac +5,2024,"Strategic Planning, Risk Management, Budgeting, IT Governance, Team Leadership, ITIL, Business Relationship Management, Teamwork"
81076,Investment,Investment Senior,AI Technologies,Casablanca,2023-11-17,https://linkedin.com/jobs/view/81076,1.0,CDI,Doctorat,2023,"JavaScript, Design Patterns, Agile, Unit Testing, C#, Cloud Computing, Scrum, Attention to Detail, Teamwork, Communication"
20920,Accounting,Accounting Intern,InnovateTech,Toronto,2025-04-18,https://linkedin.com/jobs/view/20920,7.0,Alternance,Master,2025,"Tax Accounting, GAAP, Financial Reporting, IFRS, ERP Systems, General Ledger, Project Management, Problem Solving, Analytical Thinking"
12019,Cybersecurity,Cybersecurity Lead,CyberGuard,London,2024-09-28,https://linkedin.com/jobs/view/12019,5.0,Stage,Bac +2,2024,"Risk Assessment, Incident Response, IDS/IPS, CISSP, OSCP, Network Security, SIEM"
81354,Data Analyst,Data Analyst Senior,PythonTech,Toronto,2023-11-07,https://linkedin.com/jobs/view/81354,3.0,CDD,Doctorat,2023,"Statistical Analysis, Excel, Data Visualization, SQL, Power BI"
70604,Data Analyst,Data Analyst Intern,FinanceX,Casablanca,2025-02-22,https://linkedin.com/jobs/view/70604,1.0,Freelance,Bac +5,2025,"Statistical Analysis, ETL, Python, Data Visualization, Data Modeling, Power BI, Excel"
19529,Business Intelligence,Business Intelligence Senior,DataBrains,Berlin,2025-07-21,https://linkedin.com/jobs/view/19529,4.0,Alternance,Bac +3,2025,"Linux, Git, Python, CI/CD, OOP, Java, Attention to Detail, Analytical Thinking, Teamwork"
37900,Python Developer,Python Developer Lead,CloudVision,Amsterdam,2023-11-19,https://linkedin.com/jobs/view/37900,3.0,Freelance,Master,2023,"AWS, ORM, Python, Unit Testing, Django, Git, NumPy, Pandas, Analytical Thinking, Time Management"
34014,Finance,Finance Lead,FinCorp,London,2023-05-13,https://linkedin.com/jobs/view/34014,6.0,Stage,Doctorat,2023,"ERP Systems, Accounting, Financial Analysis, Forecasting, Budgeting, Teamwork, Analytical Thinking"
38546,Machine Learning Engineer,Machine Learning Engineer Lead,FinanceX,Lyon,2025-09-28,https://linkedin.com/jobs/view/38546,4.0,Freelance,Bac +2,2025,"Spark, AWS, Azure, Data Pipelines, Python, ETL, Cassandra, Hadoop, Teamwork"
81590,Financial Analyst,Financial Analyst Junior,CloudWorks,Lyon,2023-11-10,https://linkedin.com/jobs/view/81590,6.0,CDI,Bac +2,2023,"Financial Modeling, Power BI, Valuation, Budgeting, SQL, Communication, Teamwork"
32365,Data Engineer,Data Engineer Lead,SoftWare Solutions,Casablanca,2023-09-13,https://linkedin.com/jobs/view/32365,6.0,CDI,Bac +3,2023,"Hadoop, NoSQL, Kubernetes, Cassandra, Airflow, Azure, SQL, Teamwork, Project Management"
49640,Python Developer,Python Developer Senior,FinanceX,Toronto,2024-10-09,https://linkedin.com/jobs/view/49640,7.0,CDI,Bac +3,2024,"Git, ORM, NumPy, SQL, AWS, REST API, FastAPI, Time Management"
43434,Security Analyst,Security Analyst Senior,PythonTech,Lyon,2025-11-28,https://linkedin.com/jobs/view/43434,2.0,Freelance,Bac +3,2025,"Security Controls, SIEM, Incident Response, Security Frameworks, Network Security, Compliance, Vulnerability Assessment, Threat Intelligence, Project Management"
81448,Financial Analyst,Financial Analyst Lead,InnovateTech,Marrakesh,2024-02-10,https://linkedin.com/jobs/view/81448,4.0,CDI,Doctorat,2024,"Valuation, Excel, Forecasting, Bloomberg Terminal, Budgeting, Financial Modeling, Financial Reporting, Risk Assessment"
44981,Financial Analyst,Financial Analyst Intern,DataCorp,Casablanca,2023-06-05,https://linkedin.com/jobs/view/44981,2.0,Freelance,Master,2023,"Financial Statement Analysis, Risk Assessment, Budgeting, Bloomberg Terminal, Power BI, Excel, Financial Reporting"
18264,Finance,Finance Lead,AI Technologies,Casablanca,2024-06-12,https://linkedin.com/jobs/view/18264,3.0,Freelance,Bac +5,2024,"Financial Analysis, Oracle Financials, ERP Systems, Risk Management, Accounting, Budgeting, SAP, Forecasting, Attention to Detail, Time Management, Teamwork"
11730,Cybersecurity,Cybersecurity Lead,FinanceX,Toronto,2023-12-01,https://linkedin.com/jobs/view/11730,7.0,CDD,Bac +2,2023,"Firewall, OSCP, Risk Assessment, SIEM, Ethical Hacking, Security+, Network Security, Communication"
92608,Machine Learning Engineer,Machine Learning Engineer Intern,InnovateTech,Paris,2024-02-06,https://linkedin.com/jobs/view/92608,7.0,Alternance,Bac +5,2024,"Azure, SQL, Kafka, Kubernetes, AWS, Cassandra, MongoDB, NoSQL, Teamwork, Problem Solving, Time Management"
95478,Data Engineer,Data Engineer Junior,InvestPlus,Paris,2025-12-06,https://linkedin.com/jobs/view/95478,6.0,CDI,Bac +5,2025,"SQL, MongoDB, Data Pipelines, Azure, NoSQL, Project Management, Teamwork"
68394,Cloud Engineer,Cloud Engineer Intern,DataCorp,London,2024-10-12,https://linkedin.com/jobs/view/68394,1.0,Stage,Doctorat,2024,"Kubernetes, AWS, Azure, IaC, Networking, Security, CI/CD, Teamwork, Analytical Thinking"
98061,Data Analyst,Data Analyst Intern,DataCorp,Marrakesh,2023-10-08,https://linkedin.com/jobs/view/98061,5.0,CDD,Bac +3,2023,"SQL, Data Modeling, Power BI, ETL, Excel, Business Intelligence, Python, Data Visualization"
19701,Finance,Finance Intern,FinCorp,Marrakesh,2024-10-15,https://linkedin.com/jobs/view/19701,7.0,Alternance,Bac +5,2024,"Risk Management, Excel, Financial Analysis, ERP Systems, Oracle Financials, SAP, Budgeting, Time Management, Teamwork"
36335,Financial Analyst,Financial Analyst Junior,AI Technologies,Marrakesh,2024-07-23,https://linkedin.com/jobs/view/36335,1.0,Stage,Doctorat,2024,"Risk Assessment, Financial Reporting, SQL, Valuation, Excel, Financial Modeling, Attention to Detail"
86605,Finance,Finance Senior,FinCorp,Amsterdam,2023-12-12,https://linkedin.com/jobs/view/86605,6.0,CDD,Bac +2,2023,"Risk Management, ERP Systems, SAP, Financial Reporting, Budgeting, Oracle Financials, Forecasting, Financial Analysis"
53419,Cloud Engineer,Cloud Engineer Intern,DataCorp,New York,2024-01-18,https://linkedin.com/jobs/view/53419,5.0,CDI,Master,2024,"Docker, Networking, Security, Bash, AWS, Kubernetes, Time Management, Analytical Thinking"
23252,Finance,Finance Junior,CloudWorks,Casablanca,2024-04-01,https://linkedin.com/jobs/view/23252,7.0,Stage,Bac +2,2024,"Excel, Financial Reporting, ERP Systems, Oracle Financials, Financial Analysis, Budgeting, SAP"
98458,Security Analyst,Security Analyst Junior,TechCorp,New York,2024-11-12,https://linkedin.com/jobs/view/98458,3.0,CDI,Doctorat,2024,"Vulnerability Assessment, Security Controls, Network Security, Security Frameworks, Compliance, Incident Response, Threat Intelligence, Problem Solving"
49043,Full Stack Developer,Full Stack Developer Lead,InnovateTech,Toronto,2024-11-13,https://linkedin.com/jobs/view/49043,6.0,Alternance,Bac +3,2024,"JavaScript, Vue.js, SQL, AWS/Azure/GCP, CSS, Angular, Analytical Thinking, Project Management"
65547,Cloud Engineer,Cloud Engineer Lead,SoftWare Solutions,Paris,2025-12-10,https://linkedin.com/jobs/view/65547,4.0,CDD,Bac +3,2025,"GCP, IaC, Security, Bash, CI/CD, Terraform, Docker, Kubernetes, Analytical Thinking, Project Management, Time Management"
62998,Cloud Engineer,Cloud Engineer Intern,CloudWorks,Paris,2025-09-28,https://linkedin.com/jobs/view/62998,6.0,Alternance,Bac +3,2025,"IaC, Bash, Python, Kubernetes, CloudFormation, Docker, CI/CD, Problem Solving, Communication, Teamwork"
57871,Data Engineer,Data Engineer Lead,FinanceX,New York,2024-07-26,https://linkedin.com/jobs/view/57871,6.0,Freelance,Bac +3,2024,"Kubernetes, Spark, NoSQL, GCP, ETL, Cassandra, Docker, Problem Solving, Time Management, Analytical Thinking"
60244,Data Analyst,Data Analyst Senior,PythonTech,Marrakesh,2023-02-16,https://linkedin.com/jobs/view/60244,6.0,CDI,Bac +2,2023,"R, Statistical Analysis, Business Intelligence, Power BI, Data Modeling, SQL, Data Cleaning, Project Management, Attention to Detail"
17463,Business Intelligence,Business Intelligence Senior,RiskNet,New York,2023-08-16,https://linkedin.com/jobs/view/17463,1.0,Freelance,Bac +3,2023,"Cloud Computing, Agile, JavaScript, Python, C#, Git, OOP, Java"
50684,Data Scientist,Data Scientist Junior,FinCorp,Paris,2023-03-05,https://linkedin.com/jobs/view/50684,6.0,CDD,Bac +2,2023,"Computer Vision, Big Data, NumPy, R, SQL, Deep Learning, Machine Learning, NLP, Analytical Thinking, Time Management"
32072,Data Analyst,Data Analyst Junior,CloudVision,Berlin,2025-01-07,https://linkedin.com/jobs/view/32072,5.0,Freelance,Bac +3,2025,"Power BI, Data Modeling, Python, Data Visualization, ETL, Statistical Analysis, Business Intelligence, Analytical Thinking"
98682,Software Engineer,Software Engineer Senior,SoftWare Solutions,Marrakesh,2024-01-10,https://linkedin.com/jobs/view/98682,1.0,Alternance,Doctorat,2024,"Python, Design Patterns, Cloud Computing, Scrum, CI/CD, REST API, OOP, Microservices"
52165,Security Analyst,Security Analyst Junior,TechCorp,Toronto,2024-10-02,https://linkedin.com/jobs/view/52165,2.0,Stage,Doctorat,2024,"Vulnerability Assessment, Log Analysis, SIEM, Compliance, Security Controls, Teamwork, Project Management, Analytical Thinking"
51179,Risk Management,Risk Management Lead,FinCorp,London,2023-11-21,https://linkedin.com/jobs/view/51179,1.0,Alternance,Bac +5,2023,"Stress Testing, Market Risk, Risk Mitigation Strategies, Basel III, Risk Modeling, Credit Risk, Risk Assessment, Problem Solving"
15276,Investment,Investment Junior,FinCorp,Lyon,2023-11-16,https://linkedin.com/jobs/view/15276,2.0,Freelance,Master,2023,"Linux, Design Patterns, JavaScript, C#, OOP, Microservices, Analytical Thinking, Teamwork"
81473,Risk Management,Risk Management Senior,DataBrains,New York,2024-12-17,https://linkedin.com/jobs/view/81473,1.0,Stage,Master,2024,"Regulatory Frameworks, Risk Assessment, Operational Risk, Market Risk, Credit Risk, Risk Modeling, Stress Testing, Compliance, Problem Solving"
99056,Risk Management,Risk Management Intern,CloudVision,New York,2024-04-14,https://linkedin.com/jobs/view/99056,3.0,Freelance,Bac +5,2024,"Stress Testing, Risk Mitigation Strategies, Market Risk, Risk Modeling, Compliance, Credit Risk, Risk Assessment"
32667,Finance,Finance Lead,InnovateTech,Casablanca,2023-05-11,https://linkedin.com/jobs/view/32667,5.0,Freelance,Bac +3,2023,"Financial Analysis, Oracle Financials, Accounting, Forecasting, SAP, Analytical Thinking, Teamwork"
45698,DevOps,DevOps Senior,DataBrains,New York,2025-03-12,https://linkedin.com/jobs/view/45698,5.0,Stage,Bac +5,2025,"Terraform, GitLab CI, Python, GitHub Actions, Prometheus, Ansible, Grafana, AWS/Azure/GCP, Communication, Time Management, Teamwork"
43752,Machine Learning Engineer,Machine Learning Engineer Lead,AI Technologies,Marrakesh,2025-03-23,https://linkedin.com/jobs/view/43752,3.0,Freelance,Bac +3,2025,"AWS, Python, Kubernetes, ETL, Cassandra, Kafka, Teamwork, Attention to Detail, Analytical Thinking"
60479,Cloud Engineer,Cloud Engineer Lead,FinanceX,London,2023-07-02,https://linkedin.com/jobs/view/60479,4.0,CDD,Bac +3,2023,"GCP, Networking, Kubernetes, IaC, Python"
14706,Data Analyst,Data Analyst Intern,InnovateTech,New York,2025-04-10,https://linkedin.com/jobs/view/14706,7.0,CDI,Bac +3,2025,"Data Modeling, ETL, Power BI, Statistical Analysis, Python, Excel, Tableau, Business Intelligence, Teamwork, Time Management"
75300,Data Analyst,Data Analyst Intern,DeepMind,Toronto,2023-08-24,https://linkedin.com/jobs/view/75300,3.0,Freelance,Doctorat,2023,"Data Cleaning, Tableau, Business Intelligence, Statistical Analysis, Python, Data Visualization, SQL, ETL, Communication, Project Management"
58356,Finance,Finance Junior,CloudVision,Toronto,2025-05-08,https://linkedin.com/jobs/view/58356,2.0,CDI,Doctorat,2025,"ERP Systems, SAP, Accounting, Oracle Financials, Risk Management, Excel, Forecasting, Financial Reporting"
39340,Data Analyst,Data Analyst Lead,PythonTech,Berlin,2023-11-24,https://linkedin.com/jobs/view/39340,2.0,CDI,Bac +2,2023,"Data Cleaning, ETL, R, Python, Data Modeling, Excel, SQL, Tableau, Time Management, Problem Solving"
16569,Accounting,Accounting Lead,DeepMind,Paris,2024-12-28,https://linkedin.com/jobs/view/16569,7.0,Alternance,Master,2024,"Reconciliation, ERP Systems, Excel, Audit, General Ledger, IFRS"
80803,Machine Learning Engineer,Machine Learning Engineer Junior,PythonTech,Toronto,2023-05-21,https://linkedin.com/jobs/view/80803,4.0,Stage,Master,2023,"Airflow, Data Pipelines, Kubernetes, Spark, ETL"
30564,Accounting,Accounting Junior,SoftWare Solutions,Paris,2025-09-17,https://linkedin.com/jobs/view/30564,7.0,CDI,Master,2025,"IFRS, Tax Accounting, Reconciliation, Financial Reporting, GAAP, General Ledger"
89658,Network Engineer,Network Engineer Senior,InnovateTech,Toronto,2023-02-11,https://linkedin.com/jobs/view/89658,3.0,CDI,Master,2023,"LAN, VLAN, Network Security, Cisco, Troubleshooting, Switching, TCP/IP, Teamwork, Project Management"
19254,Investment,Investment Intern,AI Technologies,Paris,2025-09-16,https://linkedin.com/jobs/view/19254,6.0,Freelance,Master,2025,"CI/CD, OOP, REST API, Design Patterns, Linux, C#, JavaScript, Unit Testing, Teamwork, Communication"
69479,IT Manager,IT Manager Intern,DeepMind,Paris,2023-09-17,https://linkedin.com/jobs/view/69479,2.0,CDI,Bac +5,2023,"Vendor Management, Risk Management, Project Management, IT Governance, Business Relationship Management, ITIL, Strategic Planning, Team Leadership, Communication"
69197,Finance,Finance Junior,InvestPlus,San Francisco,2023-07-02,https://linkedin.com/jobs/view/69197,3.0,CDI,Doctorat,2023,"Financial Analysis, Oracle Financials, Financial Reporting, Excel, Forecasting, Teamwork, Problem Solving, Time Management"
60502,Software Engineer,Software Engineer Lead,InvestPlus,San Francisco,2025-06-28,https://linkedin.com/jobs/view/60502,2.0,CDD,Bac +3,2025,"Cloud Computing, Microservices, REST API, Linux, Git, Unit Testing, Attention to Detail, Problem Solving, Time Management"
87711,DevOps,DevOps Lead,DeepMind,Lyon,2025-11-16,https://linkedin.com/jobs/view/87711,3.0,CDI,Doctorat,2025,"Bash, Python, CI/CD, Docker, ELK Stack"
99705,Financial Analyst,Financial Analyst Intern,PythonTech,Amsterdam,2024-12-13,https://linkedin.com/jobs/view/99705,2.0,Stage,Doctorat,2024,"Power BI, Bloomberg Terminal, Financial Modeling, Valuation, Forecasting, SQL, Excel, Time Management"
75413,Machine Learning Engineer,Machine Learning Engineer Intern,CloudWorks,San Francisco,2025-09-19,https://linkedin.com/jobs/view/75413,1.0,CDD,Master,2025,"NoSQL, ETL, Data Pipelines, Spark, Cassandra, Hadoop, MongoDB, Azure"
11535,Accounting,Accounting Junior,FinCorp,Lyon,2023-01-21,https://linkedin.com/jobs/view/11535,3.0,Stage,Bac +2,2023,"Excel, Audit, General Ledger, Financial Reporting, Tax Accounting, Reconciliation, Project Management"
55589,Software Engineer,Software Engineer Lead,DataBrains,New York,2024-10-02,https://linkedin.com/jobs/view/55589,2.0,CDD,Doctorat,2024,"Design Patterns, JavaScript, Git, Scrum, Python, REST API, CI/CD, Agile, Attention to Detail, Analytical Thinking, Problem Solving"
26058,Cybersecurity,Cybersecurity Senior,DeepMind,Toronto,2023-08-09,https://linkedin.com/jobs/view/26058,4.0,Freelance,Bac +2,2023,"Penetration Testing, Firewall, SIEM, CISSP, Security Auditing, IDS/IPS, Security+, Risk Assessment, Problem Solving, Analytical Thinking, Teamwork"
84947,Investment,Investment Lead,FinanceX,Casablanca,2023-08-01,https://linkedin.com/jobs/view/84947,1.0,CDD,Bac +2,2023,"Git, C#, Python, JavaScript, Linux, Scrum, OOP, Attention to Detail, Analytical Thinking, Communication"
95446,Accounting,Accounting Junior,DataCorp,Berlin,2023-11-21,https://linkedin.com/jobs/view/95446,3.0,Alternance,Bac +2,2023,"ERP Systems, IFRS, Financial Reporting, Audit, Reconciliation, Tax Accounting, Time Management, Project Management, Teamwork"
63641,IT Manager,IT Manager Senior,SoftWare Solutions,Berlin,2023-05-28,https://linkedin.com/jobs/view/63641,6.0,Stage,Bac +3,2023,"Risk Management, Service Delivery, IT Governance, Vendor Management, Project Management, Strategic Planning, Team Leadership, Attention to Detail, Time Management"
64218,Financial Analyst,Financial Analyst Intern,TechCorp,San Francisco,2024-09-08,https://linkedin.com/jobs/view/64218,7.0,CDI,Bac +5,2024,"Valuation, Financial Statement Analysis, Budgeting, Risk Assessment, Excel, Forecasting, SQL, Attention to Detail, Analytical Thinking"
63129,Investment,Investment Intern,FinanceX,Paris,2025-10-18,https://linkedin.com/jobs/view/63129,2.0,Alternance,Bac +5,2025,"Agile, C#, Scrum, Design Patterns, Java, REST API, Python, JavaScript, Analytical Thinking"
35306,Security Analyst,Security Analyst Lead,InnovateTech,New York,2024-08-17,https://linkedin.com/jobs/view/35306,5.0,CDI,Master,2024,"SIEM, Compliance, Risk Management, Log Analysis, Threat Intelligence"
13737,Data Analyst,Data Analyst Senior,RiskNet,Lyon,2025-08-23,https://linkedin.com/jobs/view/13737,4.0,Freelance,Bac +5,2025,"R, Business Intelligence, Statistical Analysis, Data Visualization, Python, Data Modeling, Power BI, Communication"
21844,Accounting,Accounting Intern,CloudVision,New York,2023-08-28,https://linkedin.com/jobs/view/21844,6.0,Alternance,Master,2023,"Reconciliation, ERP Systems, Tax Accounting, Excel, Financial Reporting, GAAP, Project Management, Analytical Thinking"
22146,Risk Management,Risk Management Senior,InvestPlus,Berlin,2024-08-21,https://linkedin.com/jobs/view/22146,1.0,Alternance,Master,2024,"Operational Risk, Basel III, Stress Testing, Regulatory Frameworks, Risk Assessment, Compliance, Communication, Time Management"
71861,Full Stack Developer,Full Stack Developer Intern,SoftWare Solutions,New York,2025-07-18,https://linkedin.com/jobs/view/71861,7.0,Stage,Doctorat,2025,"REST API, Angular, TypeScript, JavaScript, CSS, React, SQL, Express, Analytical Thinking, Teamwork, Communication"
47252,Data Scientist,Data Scientist Lead,CyberGuard,San Francisco,2025-05-26,https://linkedin.com/jobs/view/47252,6.0,CDD,Doctorat,2025,"Deep Learning, Big Data, Statistical Analysis, Jupyter, R, Data Mining, Pandas, Project Management"
